"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","fiterrP","fiterrM","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","c.0..rep.tcoefM..each...10.."
10,10,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.792312688446547,0.800000000000001,0.00179555555555557,0.199999999999999,0.000448888888888888,0.426,0.574,0.00116363636363644,-0.000642424242424216
25,25,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.446763441363457,0.350761085373925,0.00441666666666667,0.649238914626075,0.008175,0.556,0.444,0.0109599999999999,-0.00660121212121211
50,50,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.213186879865004,0.795069673517201,0.0132418367346939,0.204930326482799,0.00341310204081633,0.3996,0.6004,0.00124606060606057,0.000263030303030325
75,75,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.0112413920260088,0.768454537390842,0.0318440360360361,0.231545462609158,0.00959502702702702,0.472266666666667,0.527733333333333,0.00677656565656561,-0.00684686868686866
125,125,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.219693538851523,0.478050783997822,0.0271835096774194,0.521949216002178,0.0296797161290323,0.50424,0.49576,0.00358836363636367,-0.00987636363636364
150,150,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.346903653138657,0.807085710728177,0.0371222774049217,0.192914289271823,0.00887318120805369,0.433266666666666,0.566733333333334,-0.00392161616161607,-0.00385858585858587
200,200,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.174322686914994,0.658255246245062,0.0385094849246231,0.341744753754938,0.0199928743718593,0.50995,0.49005,0.00148060606060615,-0.00407848484848486
250,250,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.674107983240027,0.616521217673705,0.0600835036144578,0.383478782326295,0.0373721911646586,0.38776,0.61224,0.00509575757575759,-0.00266521212121213
300,300,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.394287965204398,0.62065063875299,0.0502154247491639,0.37934936124701,0.0306922898550725,0.541533333333333,0.458466666666667,-0.00317454545454551,-0.00299393939393936
500,500,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.64782855280084,0.650416109443159,0.0987695915831663,0.349583890556841,0.0530864128256513,0.46766,0.53234,-0.00368993939393944,-0.000847515151515151
