"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,0.99970688594918,0.217569330117047,0.00106193034747215,0.782430669882953,0.00381895220569313,0.00718951091075293,0.00718951091075293,3.91744490348551e-05,0.000127477188024746,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,0.999851215396273,0.22294388308765,0.000676607869632928,0.77705611691235,0.00235827185104962,0.00177189050298399,0.00177189050298399,-7.25746128395839e-06,-0.000255713640796045,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,0.999796516991234,0.311987110198026,0.000958380619434316,0.688012889801974,0.00211347904433836,0.0116178929606547,0.0116178929606547,-0.000194094778540023,-0.000448676680326477,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,0.999413998120194,0.436165534400345,0.00175650100996957,0.563834465599655,0.00227064206171871,0.0012562866974597,0.0012562866974597,0.000137112383791697,3.09053447374714e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,0.9980156917605,0.514401966736792,0.00191897901683096,0.485598033263208,0.0018115258041447,0.00358658525740996,0.00358658525740996,-0.000179696025489299,-3.39180780251948e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.999975210565171,0.422691678967688,0.000833183515099576,0.577308321032312,0.0011379542114211,0.0115771832763438,0.0115771832763438,4.93250682144625e-05,-8.96915441795251e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.999842011989428,0.431705865387603,0.00110260426335387,0.568294134612397,0.00145145939840321,0.00256602810954698,0.00256602810954698,1.11155589901236e-05,-8.59579854312319e-05,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.999972761792364,0.3706325901814,0.000625056546888495,0.6293674098186,0.00106140212794788,0.0186217438147889,0.0186217438147889,3.34739146995702e-06,0.000150460786342881,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.999985526188317,0.615129880775866,0.00147322257521245,0.384870119224134,0.000921755495685793,0.0141498508266762,0.0141498508266762,0.000336563415593232,0.000147352171990483,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.999944937605845,0.575403423431368,0.000773357196032337,0.424596576568632,0.000570668863841428,0.0167707511965256,0.0167707511965256,-7.87322302870046e-05,-5.72653635417829e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.999971855597274,0.41185353390353,0.000747924212595072,0.58814646609647,0.00106807140484271,0.00486876337093767,0.00486876337093767,-6.34624841205863e-05,-6.63177202591315e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.999996143966869,0.562417446497319,0.00160889029441306,0.437582553502681,0.00125177895479511,0.0042230785665216,0.0042230785665216,-0.00015325374928924,8.18743556072613e-06,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.999996394157994,0.576575205913784,0.000652450818853548,0.423424794086216,0.000479146260177127,0.00473111235560353,0.00473111235560353,-3.79895203333444e-05,-0.000137111907583749,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.999994523355255,0.498039611472309,0.000768135327005087,0.501960388527691,0.000774182411004385,0.00750675324855044,0.00750675324855044,-5.79373860235826e-05,4.91027604318167e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.999995795660807,0.601306922080712,0.00189110954827373,0.398693077919288,0.00125388925155696,0.0026604535764716,0.0026604535764716,-8.81718729897047e-05,0.000209643993893518,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.503528666035499,0.000706085437736932,0.496471333964502,0.00069618912052457,0.000862491191899739,0.000862491191899739,-2.80696249057035e-05,0.000304898490831001,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.441493238747887,0.000540229415285168,0.558506761252113,0.000683412008572885,5.42332561570547e-06,5.42332561570547e-06,-2.33451545792021e-05,2.87732387045919e-05,2
