chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
0	cP1	0	0	2	1	0.010	-6.557929e-02	1.927629e-01	3.626882e+03	6.355257e+02	6.293125e+02	7.337293e-01	7.324650e-01	7.325702e-01
0	cP6	0	0	2	1	0.020	8.633909e-02	2.252181e-01	3.626897e+03	6.353260e+02	6.291056e+02	7.014872e-01	7.000988e-01	7.002403e-01
0	cP10	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	cP14	0	0	2	1	0.210	-6.302215e-01	2.140971e-01	3.631016e+03	5.840666e+02	5.783455e+02	3.273840e-03	3.783995e-03	4.623634e-03
0	cP17	0	0	2	1	0.190	-1.748039e-01	1.435177e-01	3.627567e+03	6.266886e+02	6.205524e+02	2.233406e-01	2.226135e-01	2.244885e-01
0	cP24	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	cP29	0	0	2	1	0.140	3.098985e-01	1.041849e-01	3.631100e+03	5.830846e+02	5.773740e+02	2.962744e-03	3.446990e-03	4.243618e-03
0	cP34	0	0	2	1	0.170	3.714934e-01	1.963312e-01	3.628599e+03	6.136181e+02	6.076087e+02	5.858295e-02	5.947356e-02	6.192083e-02
0	cP37	0	0	1	2	0.340	7.795133e-03	1.136289e-01	3.626826e+03	6.362602e+02	6.300318e+02	9.453122e-01	9.450286e-01	9.450348e-01
0	cP39	0	0	2	1	0.080	-7.273160e-02	1.562712e-01	3.626933e+03	6.348622e+02	6.286522e+02	6.416719e-01	6.401028e-01	6.403314e-01
0	nP1	0	0	2	1	0.020	-2.581898e-02	1.464603e-01	3.626839e+03	6.360773e+02	6.298589e+02	8.600831e-01	8.593647e-01	8.593904e-01
0	nP3	0	0	2	1	0.300	3.041741e-01	1.251221e-01	3.629721e+03	5.997196e+02	5.938488e+02	1.512635e-02	1.606476e-02	1.775570e-02
0	nP8	0	0	2	1	0.290	1.007171e-01	1.014828e-01	3.627318e+03	6.298874e+02	6.237192e+02	3.210721e-01	3.197183e-01	3.210384e-01
0	nP10	0	0	2	1	0.250	-3.994837e-02	1.158449e-01	3.626883e+03	6.355154e+02	6.292914e+02	7.302410e-01	7.289606e-01	7.290693e-01
0	nP11	0	0	2	1	0.090	7.045238e-02	1.273018e-01	3.626978e+03	6.342845e+02	6.280748e+02	5.800198e-01	5.783223e-01	5.786724e-01
0	nP15	0	0	2	1	0.190	6.726133e-02	1.054617e-01	3.627028e+03	6.336374e+02	6.274321e+02	5.236756e-01	5.219214e-01	5.224147e-01
0	nP22	0	0	2	1	0.140	7.202591e-02	9.836929e-02	3.627093e+03	6.327890e+02	6.265924e+02	4.641157e-01	4.623692e-01	4.630562e-01
0	nP27	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP30	0	0	2	1	0.190	-3.581404e-01	1.713540e-01	3.628982e+03	6.088458e+02	6.028819e+02	3.671309e-02	3.773802e-02	3.998355e-02
0	nP35	0	0	2	1	0.230	-8.473169e-02	9.850360e-02	3.627196e+03	6.314792e+02	6.252953e+02	3.897675e-01	3.881553e-01	3.891370e-01
0	nP36	0	0	2	1	0.010	-2.829647e-01	2.992170e-01	3.627273e+03	6.304806e+02	6.243075e+02	3.444013e-01	3.429442e-01	3.441409e-01
0	nP41	0	0	2	1	0.010	5.052427e-02	2.835430e-01	3.626839e+03	6.360834e+02	6.298559e+02	8.585889e-01	8.578668e-01	8.578928e-01
0	nP46	0	0	2	1	0.150	-1.773690e-01	1.270480e-01	3.627798e+03	6.237411e+02	6.176357e+02	1.628148e-01	1.626325e-01	1.648520e-01
0	nP47	0	0	1	2	0.460	-1.260141e-01	1.221395e-01	3.627358e+03	6.293873e+02	6.232236e+02	3.023018e-01	3.010433e-01	3.024600e-01
0	nP50	0	0	2	1	0.010	-1.600234e-02	2.139877e-01	3.626826e+03	6.362521e+02	6.300257e+02	9.403945e-01	9.400827e-01	9.400895e-01
0	nP53	0	0	2	1	0.010	-1.782035e-02	2.324672e-01	3.626826e+03	6.362502e+02	6.300239e+02	9.389022e-01	9.385832e-01	9.385903e-01
0	nP54	0	0	2	1	0.050	-1.419650e-01	1.850163e-01	3.627120e+03	6.324444e+02	6.262510e+02	4.429693e-01	4.412456e-01	4.420118e-01
0	nP61	0	0	2	1	0.020	1.950290e-02	1.789707e-01	3.626829e+03	6.362112e+02	6.299847e+02	9.132330e-01	9.127808e-01	9.127923e-01
0	nP72	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP74	0	0	2	1	0.090	-1.998934e-01	2.044731e-01	3.627304e+03	6.300729e+02	6.239062e+02	3.283658e-01	3.269789e-01	3.282608e-01
0	nP77	0	0	2	1	0.010	5.052427e-02	2.835430e-01	3.626839e+03	6.360834e+02	6.298559e+02	8.585889e-01	8.578668e-01	8.578928e-01
0	nP81	0	0	2	1	0.010	-4.890124e-02	1.638620e-01	3.626868e+03	6.356954e+02	6.294858e+02	7.654003e-01	7.642632e-01	7.643403e-01
0	nP90	0	0	1	2	0.470	-1.024011e-01	9.358732e-02	3.627424e+03	6.285251e+02	6.223719e+02	2.739828e-01	2.728916e-01	2.744689e-01
0	nP97	0	0	2	1	0.010	-6.510208e-02	2.104794e-01	3.626872e+03	6.356596e+02	6.294402e+02	7.571162e-01	7.559391e-01	7.560234e-01
0	nP102	0	0	2	1	0.070	-1.762692e-02	9.136926e-02	3.626842e+03	6.360450e+02	6.298195e+02	8.470376e-01	8.462577e-01	8.462881e-01
0	nP108	0	0	2	1	0.330	-3.250437e-01	9.404201e-02	3.632514e+03	5.664817e+02	5.609337e+02	5.566536e-04	7.416136e-04	1.059638e-03
0	nP116	0	0	2	1	0.180	1.357203e-01	1.095319e-01	3.627593e+03	6.263709e+02	6.202368e+02	2.154272e-01	2.147629e-01	2.166805e-01
0	nP117	0	0	2	1	0.030	1.931531e-01	1.991652e-01	3.627296e+03	6.301794e+02	6.240082e+02	3.322333e-01	3.308277e-01	3.320877e-01
0	nP120	0	0	2	1	0.170	3.240567e-01	2.071599e-01	3.628044e+03	6.206171e+02	6.145388e+02	1.178779e-01	1.181631e-01	1.205903e-01
0	nP125	0	0	2	1	0.310	1.619751e-01	8.412743e-02	3.628661e+03	6.128522e+02	6.068452e+02	5.429849e-02	5.522255e-02	5.764418e-02
0	nP129	0	0	2	1	0.270	3.678611e-02	1.105367e-01	3.626879e+03	6.355680e+02	6.293436e+02	7.393167e-01	7.380699e-01	7.381699e-01
0	nP131	0	0	2	1	0.020	1.972830e-01	2.415976e-01	3.627159e+03	6.319487e+02	6.257601e+02	4.142482e-01	4.125761e-01	4.134535e-01
0	nP133	0	0	2	1	0.250	9.173960e-02	8.310343e-02	3.627435e+03	6.283883e+02	6.222355e+02	2.697338e-01	2.686695e-01	2.702713e-01
0	nP136	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP137	0	0	2	1	0.030	-3.064729e-01	1.950733e-01	3.628054e+03	6.205002e+02	6.144246e+02	1.162941e-01	1.165938e-01	1.190216e-01
0	nP147	0	0	2	1	0.010	-7.452487e-02	1.941612e-01	3.626898e+03	6.353189e+02	6.291083e+02	7.011373e-01	6.997557e-01	6.998964e-01
0	nP150	0	0	2	1	0.010	-1.200185e-01	2.155231e-01	3.626980e+03	6.342581e+02	6.280521e+02	5.776657e-01	5.759667e-01	5.763216e-01
0	nP155	0	0	2	1	0.030	5.454022e-02	1.761927e-01	3.626872e+03	6.356621e+02	6.294390e+02	7.569299e-01	7.557511e-01	7.558356e-01
0	nP159	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP161	0	0	2	1	0.190	1.219473e-01	1.084541e-01	3.627458e+03	6.281024e+02	6.219510e+02	2.609455e-01	2.599383e-01	2.615887e-01
0	nP162	0	0	2	1	0.060	6.429716e-02	1.437750e-01	3.626924e+03	6.349819e+02	6.287643e+02	6.547645e-01	6.532330e-01	6.534390e-01
0	nP164	0	0	2	1	0.160	-1.892071e-01	1.312767e-01	3.627862e+03	6.229504e+02	6.168482e+02	1.496296e-01	1.495767e-01	1.518605e-01
0	nP166	0	0	2	1	0.130	-2.265067e-02	8.985360e-02	3.626855e+03	6.358715e+02	6.296475e+02	8.009967e-01	8.000028e-01	8.000560e-01
0	nP172	0	0	2	1	0.060	-1.862765e-03	1.094444e-01	3.626823e+03	6.362882e+02	6.300604e+02	9.864219e-01	9.863540e-01	9.863555e-01
0	nP177	0	0	2	1	0.150	1.975168e-01	1.536144e-01	3.627651e+03	6.256164e+02	6.194907e+02	1.986334e-01	1.981138e-01	2.001312e-01
0	nP181	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP187	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP190	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP191	0	0	2	1	0.180	8.242895e-01	2.866815e-01	3.630831e+03	5.862889e+02	5.805439e+02	4.070864e-03	4.638301e-03	5.575302e-03
0	nP195	0	0	2	1	0.020	-4.092182e-01	2.430042e-01	3.628235e+03	6.182073e+02	6.121538e+02	9.230733e-02	9.286635e-02	9.535640e-02
0	nP200	0	0	2	1	0.010	-5.225284e-02	2.209801e-01	3.626851e+03	6.359190e+02	6.296978e+02	8.130955e-01	8.121576e-01	8.122039e-01
0	nP202	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP205	0	0	2	1	0.180	-1.770891e-01	1.543292e-01	3.627484e+03	6.277494e+02	6.216050e+02	2.512947e-01	2.503571e-01	2.520686e-01
0	nP210	0	0	2	1	0.200	-1.032862e+00	3.009676e-01	3.632438e+03	5.673710e+02	5.618111e+02	6.093324e-04	8.049504e-04	1.139805e-03
0	nP214	0	0	2	1	0.030	-6.600904e-02	2.185707e-01	3.626869e+03	6.356955e+02	6.294707e+02	7.626748e-01	7.615219e-01	7.616013e-01
0	nP219	0	0	2	1	0.080	-2.569367e-02	1.342698e-01	3.626842e+03	6.360520e+02	6.298235e+02	8.482603e-01	8.474860e-01	8.475159e-01
0	nP224	0	0	2	1	0.060	1.402018e-01	1.161841e-01	3.627553e+03	6.268838e+02	6.207453e+02	2.276542e-01	2.268901e-01	2.287324e-01
0	nP226	0	0	2	1	0.030	2.045314e-02	1.819735e-01	3.626830e+03	6.362085e+02	6.299799e+02	9.105183e-01	9.100531e-01	9.100651e-01
0	nP231	0	0	2	1	0.080	9.257175e-03	1.154418e-01	3.626826e+03	6.362494e+02	6.300200e+02	9.360933e-01	9.357574e-01	9.357649e-01
