"zerostate","reststate","linkage","location","locusname"
0,0.0458831904439216,1,0,"cM1"
0,-0.0112697409838438,2,0,"cM2"
0,-0.0509604468552356,2,100,"cM3"
0,0.00482150436673848,3,0,"cM4"
0,0,4,0,"cM5"
0,-0.00153927693143487,5,0,"cM6"
0,0,6,0,"cM7"
0,0,7,0,"cM8"
0,0.0819885431941519,8,0,"cM9"
0,0.0781531748142014,9,0,"cM10"
0,0.13775280054162,9,100,"cM11"
0,-0.0430719576014166,10,0,"cM12"
0,0.172995377748618,11,0,"cM13"
0,0.197245864334861,11,50,"cM14"
0,0.347673970539707,11,100,"cM15"
0,0,12,0,"cM16"
0,0,13,0,"cM17"
0,-0.0232070128619671,14,0,"cM18"
0,0.042447318270661,14,100,"cM19"
0,0.0333060960969992,15,0,"cM20"
0,-0.0161637847870588,16,0,"cM21"
0,-0.0380946572853212,16,100,"cM22"
0,0.114972524715892,17,0,"cM23"
0,0.11874674306091,17,33,"cM24"
0,0.122788378268742,17,67,"cM25"
0,0.165163623175096,17,100,"cM26"
0,0.016670575812459,18,0,"cM27"
0,0.0142827179730697,19,0,"cM28"
0,-0.139021309465476,19,100,"cM29"
0,0.0173351159259961,20,0,"cM30"
0,0.0331767178914591,20,25,"cM31"
0,0.0367790963860394,20,50,"cM32"
0,0.0409278747403061,20,75,"cM33"
0,0.0621118755998255,20,100,"cM34"
0,0,21,0,"cM35"
0,0,22,0,"cM36"
0,0.0411891846341972,23,0,"cM37"
0,0.0750756205584774,23,100,"cM38"
0,-0.0350293360261207,24,0,"cM39"
0,0.0144444234669209,25,0,"cM40"
0,-0.0180467546358705,25,33,"cM41"
0,0.0900048749843493,25,67,"cM42"
0,-0.0990169423023119,25,100,"cM43"
0,0.0355668871087914,26,0,"cM44"
0,0.0507650020329242,26,50,"cM45"
0,0.0809800161387692,26,100,"cM46"
0,-0.000728078098249601,27,0,"cM47"
0,-0.00428079236298799,28,0,"cM48"
0,0.040642290895987,28,100,"cM49"
0,0,29,0,"cM50"
0,0,30,0,"cM51"
0,-0.0108192695928087,31,0,"cM52"
0,-0.0336751796928515,31,100,"cM53"
0,-0.0135166332684457,32,0,"cM54"
0,0.0462981519086247,33,0,"cM55"
0,0.0520977805152917,33,100,"cM56"
0,-0.0373591615131826,34,0,"cM57"
0,0.0954278705218687,35,0,"cM58"
0,0.129330022924377,35,50,"cM59"
0,0.152685334301534,35,100,"cM60"
0,-0.0640804132785568,36,0,"cM61"
0,-0.106639703581656,36,100,"cM62"
0,-0.00109778301790357,37,0,"cM63"
0,-0.014203083699592,38,0,"cM64"
0,-0.062353527313721,38,25,"cM65"
0,0.118564716596754,38,50,"cM66"
0,0.11995778936726,38,75,"cM67"
0,0.171667451401403,38,100,"cM68"
0,0.00233977636322379,39,0,"cM69"
0,-0.0852589899996176,39,50,"cM70"
0,-0.0977576636472597,39,100,"cM71"
0,0.00584793915972114,40,0,"cM72"
