"zerostate","reststate","linkage","location","locusname"
0,0.00366338538105525,1,0,"cP1"
0,-0.011484510153532,2,0,"cP2"
0,0.0208901376090944,2,33,"cP3"
0,0.0340409717319493,2,67,"cP4"
0,0.0677929493006239,2,100,"cP5"
0,0.0252834423495185,3,0,"cP6"
0,0.0683869325335989,3,100,"cP7"
0,-0.00041927617003996,4,0,"cP8"
0,0.00342904395890761,4,50,"cP9"
0,0.229577831612495,4,100,"cP10"
0,0,5,0,"cP11"
0,0.0061806382983923,6,0,"cP12"
0,-0.0154170395433903,6,33,"cP13"
0,0.0326277678439917,6,67,"cP14"
0,-0.0327442742390403,6,100,"cP15"
0,0.00130769828334451,7,0,"cP16"
0,-0.0293210284395104,7,25,"cP17"
0,0.032793933561254,7,50,"cP18"
0,0.033443818425942,7,75,"cP19"
0,-0.0539526119811421,7,100,"cP20"
0,0.0770958227630625,8,0,"cP21"
0,0.116800460326101,8,33,"cP22"
0,0.131385133708443,8,67,"cP23"
0,0.193020937507203,8,100,"cP24"
0,0.00192680481821299,9,0,"cP25"
0,-0.00423858098685741,9,20,"cP26"
0,-0.0155523020261143,9,40,"cP27"
0,-0.0223836728930473,9,60,"cP28"
0,-0.0307041894078612,9,80,"cP29"
0,0.09047625041994,9,100,"cP30"
0,0.0583584389766908,10,0,"cP31"
0,0.0586584954414846,10,100,"cP32"
0,0.0406405373442838,11,0,"cP33"
0,0.0663680011745463,11,25,"cP34"
0,0.0699197949810575,11,50,"cP35"
0,0.0910087452827888,11,75,"cP36"
0,0.138558616407945,11,100,"cP37"
0,-0.00619981862604618,12,0,"cP38"
0,0.0263853670656681,12,17,"cP39"
0,0.0503261635371659,12,33,"cP40"
0,0.0706498165490065,12,50,"cP41"
0,0.0746267990079003,12,67,"cP42"
0,-0.075840963568903,12,83,"cP43"
0,0.126446737418498,12,100,"cP44"
0,0.125568696253731,13,0,"cP45"
0,0.171601839504185,13,100,"cP46"
0,-0.0181125559657812,14,0,"cP47"
0,-0.021798098217696,14,17,"cP48"
0,-0.0241926941461861,14,33,"cP49"
0,-0.0242890039645135,14,50,"cP50"
0,0.0550350318832283,14,67,"cP51"
0,-0.0658511419161963,14,83,"cP52"
0,0.0764338857646952,14,100,"cP53"
0,0.00261383215205367,15,0,"cP54"
0,-0.0176108135096729,15,33,"cP55"
0,0.0434429366124754,15,67,"cP56"
0,0.12893652967796,15,100,"cP57"
0,0.000175761624741272,16,0,"cP58"
0,-0.00253487985021909,16,100,"cP59"
0,0.103196854847099,17,0,"cP60"
0,0.117755207151904,17,20,"cP61"
0,0.127319702315987,17,40,"cP62"
0,0.13695215820594,17,60,"cP63"
0,0.222491381532845,17,80,"cP64"
0,0.246782877306786,17,100,"cP65"
0,0.00964027123525739,18,0,"cP66"
0,0.0115498006147825,18,33,"cP67"
0,-0.0166180250048637,18,67,"cP68"
0,0.0176571026258171,18,100,"cP69"
0,0.496086683803543,19,0,"cP70"
0,0.514088257373615,19,25,"cP71"
0,0.515606065885469,19,50,"cP72"
0,0.603352109011183,19,75,"cP73"
0,0.650778252074597,19,100,"cP74"
0,0.106109482605454,20,0,"cP75"
0,0.140373500208065,20,50,"cP76"
0,0.181976998777005,20,100,"cP77"
