"zerostate","reststate","linkage","location","locusname"
0,0.0447724215570711,1,0,"cP1"
0,0.0809767094647278,1,100,"cP2"
0,-0.00715770434588194,2,0,"cP3"
0,0.0248243551311975,2,50,"cP4"
0,-0.0424620936601696,2,100,"cP5"
0,0.0188448918128292,3,0,"cP6"
0,0.037837545981813,3,25,"cP7"
0,0.0628389044694308,3,50,"cP8"
0,0.0771329291131268,3,75,"cP9"
0,0.0880730304497905,3,100,"cP10"
0,0.0723561375554571,4,0,"cP11"
0,0.103928437712218,4,25,"cP12"
0,0.107611008057918,4,50,"cP13"
0,0.155081931979193,4,75,"cP14"
0,0.185646610698643,4,100,"cP15"
0,0.0674880418147812,5,0,"cP16"
0,0.0963693917423376,5,100,"cP17"
0,0.147680929928092,6,0,"cP18"
0,0.153266601162968,6,50,"cP19"
0,0.221459477513467,6,100,"cP20"
0,-0.0375796782276213,7,0,"cP21"
0,0.0393418816189542,7,20,"cP22"
0,0.0631067645448521,7,40,"cP23"
0,0.0633842109855185,7,60,"cP24"
0,0.0737342960540125,7,80,"cP25"
0,0.0923459438489039,7,100,"cP26"
0,-0.0239707630313933,8,0,"cP27"
0,0.0290496255068069,8,17,"cP28"
0,0.0352392131073361,8,33,"cP29"
0,0.0633610872145663,8,50,"cP30"
0,0.0769506562473241,8,67,"cP31"
0,0.0843792957220147,8,83,"cP32"
0,0.0923113878393426,8,100,"cP33"
0,-0.0261657711677253,9,0,"cP34"
0,-0.000145267266780138,10,0,"cP35"
0,0.00409838041290641,10,100,"cP36"
0,0.0680553575228512,11,0,"cP37"
0,0.088228179881896,11,33,"cP38"
0,0.0975042719200122,11,67,"cP39"
0,0.145659964150729,11,100,"cP40"
0,-0.000813422747274377,12,0,"cP41"
0,-0.0208847549557686,12,100,"cP42"
0,0.00758651630952954,13,0,"cP43"
0,0.0156907385215163,13,17,"cP44"
0,0.0194284603649628,13,33,"cP45"
0,-0.0246902723796666,13,50,"cP46"
0,0.0302682205063054,13,67,"cP47"
0,-0.0638128313388596,13,83,"cP48"
0,0.132193236344292,13,100,"cP49"
0,0.0608084122954269,14,0,"cP50"
0,0.0739647529985676,14,50,"cP51"
0,0.139715948319974,14,100,"cP52"
0,0.0107755565457046,15,0,"cP53"
0,-0.0124798475494492,15,14,"cP54"
0,-0.0135284203736212,15,29,"cP55"
0,0.0253854863904417,15,43,"cP56"
0,0.0261086612105065,15,57,"cP57"
0,0.0359368587520216,15,71,"cP58"
0,0.0458503518236761,15,86,"cP59"
0,0.0699502295311946,15,100,"cP60"
0,0.0931843483397618,16,0,"cP61"
0,0.111656611201151,16,17,"cP62"
0,0.111940852117523,16,33,"cP63"
0,0.115679116559013,16,50,"cP64"
0,0.122256897681191,16,67,"cP65"
0,0.148441801623239,16,83,"cP66"
0,0.191677972589782,16,100,"cP67"
0,0.0504941888187286,17,0,"cP68"
0,0.0529709171897311,17,25,"cP69"
0,0.0544649870536943,17,50,"cP70"
0,0.0839540961388969,17,75,"cP71"
0,0.0887874883217842,17,100,"cP72"
0,0.0678222126293848,18,0,"cP73"
0,0.0741796620901594,18,33,"cP74"
0,0.0898743024620385,18,67,"cP75"
0,0.0948581830192278,18,100,"cP76"
0,0.0919542202605583,19,0,"cP77"
0,0.0970626491404325,19,33,"cP78"
0,0.22743851752938,19,67,"cP79"
0,0.258439507128716,19,100,"cP80"
0,0.0290011325089221,20,0,"cP81"
0,-0.0310008864460473,20,50,"cP82"
0,0.0397619913501625,20,100,"cP83"
