chr	rs	ps	n_mis	n_obs	allele1	allele0	af	beta	se	p_wald	p_lrt	p_score
0	cP1	0	0	2500	2	1	0.010	-1.579864e+00	1.971691e-01	1.704317e-15	1.650323e-15	3.687127e-15
0	cP6	0	0	2500	2	1	0.020	1.633239e+00	1.388702e-01	4.042067e-31	3.777110e-31	1.233025e-29
0	cP10	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	cP14	0	0	2500	2	1	0.210	-9.200601e-01	2.958818e-02	9.864740e-180	6.564681e-180	8.520589e-136
0	cP17	0	0	2500	2	1	0.190	-8.972883e-01	3.292967e-02	2.307046e-143	1.667951e-143	3.793523e-114
0	cP24	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	cP29	0	0	2500	2	1	0.140	1.009537e+00	4.187319e-02	1.222964e-115	9.419512e-116	5.456862e-96
0	cP34	0	0	2500	2	1	0.170	8.426316e-01	3.393188e-02	7.476211e-122	5.677175e-122	3.408362e-100
0	cP37	0	0	2500	1	2	0.340	-6.576964e-01	3.304986e-02	6.491721e-82	5.400778e-82	1.098979e-71
0	cP39	0	0	2500	2	1	0.080	-1.797844e+00	6.723947e-02	1.009950e-138	7.379487e-139	3.260839e-111
0	nP1	0	0	2500	2	1	0.020	-1.576878e+00	1.391307e-01	4.518927e-29	4.242512e-29	8.787714e-28
0	nP3	0	0	2500	2	1	0.300	8.682297e-01	3.032154e-02	3.459739e-156	2.429232e-156	4.784049e-122
0	nP8	0	0	2500	2	1	0.290	7.848301e-01	2.994495e-02	5.741082e-134	4.240649e-134	3.649144e-108
0	nP10	0	0	2500	2	1	0.250	4.454047e-01	3.351062e-02	5.305143e-39	4.868889e-39	1.210543e-36
0	nP11	0	0	2500	2	1	0.090	1.073282e+00	5.452263e-02	2.596313e-80	2.167929e-80	1.827367e-70
0	nP15	0	0	2500	2	1	0.190	7.004729e-01	3.997202e-02	6.148444e-65	5.317765e-65	2.035235e-58
0	nP22	0	0	2500	2	1	0.140	9.331175e-01	4.562477e-02	4.408302e-86	3.632684e-86	7.835578e-75
0	nP27	0	0	2500	2	1	0.200	-9.480610e-01	2.934878e-02	1.336882e-191	8.659425e-192	2.223282e-142
0	nP30	0	0	2500	2	1	0.190	-9.693930e-01	3.059429e-02	1.664585e-185	1.093267e-185	5.014382e-139
