"zerostate","reststate","linkage","location","locusname"
0,0.158822040935685,1,0,"cP1"
0,0.163298142858665,1,25,"cP2"
0,0.169574065482922,1,50,"cP3"
0,0.183647051281042,1,75,"cP4"
0,0.201064741911044,1,100,"cP5"
0,0.0336782489700203,2,0,"cP6"
0,0.0399219207076316,2,20,"cP7"
0,0.0420241887105589,2,40,"cP8"
0,0.0541849555058365,2,60,"cP9"
0,0.0579777971638327,2,80,"cP10"
0,-0.0860212742486849,2,100,"cP11"
0,0.00987695788964629,3,0,"cP12"
0,-0.0599909940463125,3,50,"cP13"
0,0.0694406319376002,3,100,"cP14"
0,0.189872503343383,4,0,"cP15"
0,0.236076897313414,4,20,"cP16"
0,0.239446191929191,4,40,"cP17"
0,0.240248894081978,4,60,"cP18"
0,0.274118055579882,4,80,"cP19"
0,0.351324425021511,4,100,"cP20"
0,-0.0151572369039059,5,0,"cP21"
0,-0.0228301686793566,5,50,"cP22"
0,0.0317345685495024,5,100,"cP23"
0,0.0073021206445992,6,0,"cP24"
0,-0.00873771700213973,6,20,"cP25"
0,0.0131849042698741,6,40,"cP26"
0,-0.0161224138364196,6,60,"cP27"
0,0.026525291968137,6,80,"cP28"
0,-0.0541269134340768,6,100,"cP29"
0,0.0490551904485547,7,0,"cP30"
0,0.123025762925562,8,0,"cP31"
0,0.142253286536331,8,100,"cP32"
0,0.0833674395673381,9,0,"cP33"
0,0.0931774389050687,9,33,"cP34"
0,0.10004578532434,9,67,"cP35"
0,0.177932745779305,9,100,"cP36"
0,0.0677246061678896,10,0,"cP37"
0,0.0758348767036452,10,17,"cP38"
0,0.121514698632532,10,33,"cP39"
0,0.12750657557769,10,50,"cP40"
0,0.143950227581293,10,67,"cP41"
0,0.167045726134422,10,83,"cP42"
0,0.172451939270291,10,100,"cP43"
0,0.129453979368302,11,0,"cP44"
0,0.147950386620107,11,50,"cP45"
0,0.282529314964788,11,100,"cP46"
0,0.000470056406181336,12,0,"cP47"
0,0.00618577959015965,12,14,"cP48"
0,0.00758588032796979,12,29,"cP49"
0,-0.013196626752615,12,43,"cP50"
0,-0.0173831127781804,12,57,"cP51"
0,-0.0206478769518435,12,71,"cP52"
0,-0.0618652564253578,12,86,"cP53"
0,-0.0756782714988957,12,100,"cP54"
0,-0.0058437847904861,13,0,"cP55"
0,0.0308215736953502,13,33,"cP56"
0,0.0582395074482927,13,67,"cP57"
0,-0.141654151297154,13,100,"cP58"
0,0.0293299520249668,14,0,"cP59"
0,0.0416026170243442,14,25,"cP60"
0,0.0578188680195207,14,50,"cP61"
0,-0.0753305447813044,14,75,"cP62"
0,-0.102935062865342,14,100,"cP63"
0,0.00988261190936785,15,0,"cP64"
0,0.0125909080933586,15,14,"cP65"
0,0.0292561566805921,15,29,"cP66"
0,0.0302106942964678,15,43,"cP67"
0,0.0335495446978097,15,57,"cP68"
0,0.0365834347689756,15,71,"cP69"
0,0.038338410097452,15,86,"cP70"
0,0.0842700201575044,15,100,"cP71"
0,0.138905031896176,16,0,"cP72"
0,0.0830237098004589,17,0,"cP73"
0,0.0880037419138335,17,14,"cP74"
0,0.093897335195341,17,29,"cP75"
0,0.111562534141895,17,43,"cP76"
0,0.120688273794558,17,57,"cP77"
0,0.126430810466018,17,71,"cP78"
0,0.129444364811834,17,86,"cP79"
0,0.132670719457794,17,100,"cP80"
0,0.0978008367799063,18,0,"cP81"
0,0.100508644089832,18,25,"cP82"
0,0.118698752515747,18,50,"cP83"
0,0.15822468326378,18,75,"cP84"
0,0.171858043848517,18,100,"cP85"
0,-0.00530610671266913,19,0,"cP86"
0,0.00744902767241001,19,14,"cP87"
0,0.0124557666860537,19,29,"cP88"
0,-0.0206020791642368,19,43,"cP89"
0,0.0356657360477333,19,57,"cP90"
0,0.0674727465923796,19,71,"cP91"
0,-0.0682523556987867,19,86,"cP92"
0,0.0865303548133986,19,100,"cP93"
0,0.00343989128246903,20,0,"cP94"
0,-0.0357542829571252,20,100,"cP95"
