"zerostate","reststate","linkage","location","locusname"
0,0.0266582163237035,1,0,"cP1"
0,0.0818745263632307,1,100,"cP2"
0,-0.0128633023425937,2,0,"cP3"
0,-0.0229133564420044,2,33,"cP4"
0,-0.0604117635603914,2,67,"cP5"
0,-0.0888708384734288,2,100,"cP6"
0,0.00205661412328482,3,0,"cP7"
0,0.012330659727693,3,33,"cP8"
0,0.0246609315276146,3,67,"cP9"
0,-0.0430555422214751,3,100,"cP10"
0,0.188432330628088,4,0,"cP11"
0,0.00453960219398141,5,0,"cP12"
0,0.0155987969785929,5,100,"cP13"
0,0.0359004801122432,6,0,"cP14"
0,-0.107681345115031,6,100,"cP15"
0,0.0979721727171793,7,0,"cP16"
0,0.109973949095781,7,20,"cP17"
0,0.18064371421093,7,40,"cP18"
0,0.219309007588187,7,60,"cP19"
0,0.232620884930834,7,80,"cP20"
0,0.257758845263688,7,100,"cP21"
0,0.116464390747978,8,0,"cP22"
0,0.137592329924012,9,0,"cP23"
0,0.17895437299964,9,20,"cP24"
0,0.195624935874602,9,40,"cP25"
0,0.19705291950834,9,60,"cP26"
0,0.206261331865014,9,80,"cP27"
0,0.260476304454544,9,100,"cP28"
0,0.113412929319574,10,0,"cP29"
0,0.143597996263745,10,25,"cP30"
0,0.164034029682329,10,50,"cP31"
0,0.182579589625052,10,75,"cP32"
0,0.184828035827046,10,100,"cP33"
0,0.22306506936759,11,0,"cP34"
0,0.254390778641469,11,25,"cP35"
0,0.258802404571765,11,50,"cP36"
0,0.278612238212741,11,75,"cP37"
0,0.327777126751526,11,100,"cP38"
0,-0.00126615442335606,12,0,"cP39"
0,-0.0155441634769853,13,0,"cP40"
0,0.0566312013532887,13,100,"cP41"
0,-0.0069088675471456,14,0,"cP42"
0,0.00879435094073415,14,20,"cP43"
0,-0.0165839601866901,14,40,"cP44"
0,-0.0274936524778605,14,60,"cP45"
0,-0.0428139195201879,14,80,"cP46"
0,-0.0641043047573338,14,100,"cP47"
0,0.00800814868882298,15,0,"cP48"
0,-0.0334254069236999,15,33,"cP49"
0,-0.0747774244811306,15,67,"cP50"
0,-0.0765475516732702,15,100,"cP51"
0,0.0150298645711862,16,0,"cP52"
0,0.05553663983605,16,100,"cP53"
0,0.180567003959348,17,0,"cP54"
0,0.225028242455391,17,50,"cP55"
0,0.300922907872086,17,100,"cP56"
0,0.097424684981431,18,0,"cP57"
0,0.000846160221844912,19,0,"cP58"
0,-0.018760650005747,19,100,"cP59"
0,-0.00244258638895101,20,0,"cP60"
0,0.061788398923258,20,100,"cP61"
