"zerostate","reststate","linkage","location","locusname"
0,0.246390165673164,1,0,"cM1"
0,-0.0157009067945182,2,0,"cM2"
0,-0.00127594474703074,3,0,"cM3"
0,0.0202039348520339,3,100,"cM4"
0,-0.0743057177182207,4,0,"cM5"
0,-0.0817419847067366,4,50,"cM6"
0,-0.150364489846661,4,100,"cM7"
0,-0.0844590721373965,5,0,"cM8"
0,-0.0332043402252679,6,0,"cM9"
0,-0.0703740439530382,6,100,"cM10"
0,0.00456050099908039,7,0,"cM11"
0,-0.0126254462264478,7,100,"cM12"
0,0,8,0,"cM13"
0,-0.0610529787475937,9,0,"cM14"
0,-0.0871243563118154,9,100,"cM15"
0,-0.114672108881905,10,0,"cM16"
0,-0.247624215470223,10,50,"cM17"
0,-0.265927039743928,10,100,"cM18"
0,-0.0603977576609621,11,0,"cM19"
0,-0.162969393423739,11,100,"cM20"
0,-0.0709798143337949,12,0,"cM21"
0,-0.170915217422449,12,100,"cM22"
0,-0.127427402948105,13,0,"cM23"
0,-0.117130629413559,14,0,"cM24"
0,-0.237859880016712,15,0,"cM25"
0,-0.358844068328243,15,20,"cM26"
0,-0.373261277450573,15,40,"cM27"
0,-0.375448977684927,15,60,"cM28"
0,-0.416720342740538,15,80,"cM29"
0,-0.473544337722595,15,100,"cM30"
0,-0.170250153084448,16,0,"cM31"
0,-0.184113071699789,16,100,"cM32"
0,-0.164045502162519,17,0,"cM33"
0,-0.190546130008044,17,50,"cM34"
0,-0.231849477726379,17,100,"cM35"
0,0,18,0,"cM36"
0,-0.0473500619066839,19,0,"cM37"
0,-0.0765283448660931,20,0,"cM38"
0,-0.0801904598589907,20,100,"cM39"
0,-0.00166282752767005,21,0,"cM40"
0,-0.0147298991493881,21,50,"cM41"
0,-0.0749701989882712,21,100,"cM42"
0,-0.0841140112959529,22,0,"cM43"
0,-0.0166436144337058,23,0,"cM44"
0,0.00536496164537199,24,0,"cM45"
0,-0.0313666369909457,24,50,"cM46"
0,-0.159477271072741,24,100,"cM47"
0,-0.0385885527713184,25,0,"cM48"
0,0.048619471653391,25,50,"cM49"
0,-0.0998877178827181,25,100,"cM50"
0,-0.0544291223568802,26,0,"cM51"
0,-0.0601907039536172,26,50,"cM52"
0,-0.0755322868546431,26,100,"cM53"
0,-0.0547854732332711,27,0,"cM54"
0,-0.0749070550112014,27,50,"cM55"
0,-0.10163905724547,27,100,"cM56"
0,-0.00194280987120624,28,0,"cM57"
0,-0.033016627205718,28,50,"cM58"
0,-0.138161472671463,28,100,"cM59"
0,0.00310945945111242,29,0,"cM60"
0,-0.021870418407579,30,0,"cM61"
0,-0.0376698845210969,31,0,"cM62"
0,-0.0602991860318482,31,50,"cM63"
0,-0.0911690149770562,31,100,"cM64"
0,-0.0326585421670139,32,0,"cM65"
0,-0.0579173129763374,33,0,"cM66"
0,-0.196327395329113,34,0,"cM67"
0,-0.218381209896739,34,50,"cM68"
0,-0.239313444457992,34,100,"cM69"
0,-0.026260909512639,35,0,"cM70"
0,-0.0295746304014859,36,0,"cM71"
0,-0.0300127137359703,36,100,"cM72"
0,-0.00494431716966235,37,0,"cM73"
0,-0.0303782437519988,37,50,"cM74"
0,-0.119125315838291,37,100,"cM75"
0,-0.0238331305608153,38,0,"cM76"
0,-0.0598027528043757,38,100,"cM77"
0,-0.0992472087541476,39,0,"cM78"
0,-0.129447833013331,39,100,"cM79"
0,-0.104914237225024,40,0,"cM80"
0,-0.17475112296327,40,25,"cM81"
0,-0.17756738812405,40,50,"cM82"
0,-0.237040354268951,40,75,"cM83"
0,-0.245877312191781,40,100,"cM84"
