"zerostate","reststate","linkage","location","locusname"
0,0.0187542845495045,1,0,"cM1"
0,0.0283184224274009,1,17,"cM2"
0,-0.0376708980184048,1,33,"cM3"
0,-0.0800874024584892,1,50,"cM4"
0,0.132946340921791,1,67,"cM5"
0,-0.261905350248933,1,83,"cM6"
0,-0.334328591061716,1,100,"cM7"
0,-0.0241383951831055,2,0,"cM8"
0,-0.197664543791654,2,50,"cM9"
0,-0.19974855146462,2,100,"cM10"
0,-0.0210532724391669,3,0,"cM11"
0,0.0672209658659995,3,33,"cM12"
0,0.133356295708091,3,67,"cM13"
0,0.140507005523415,3,100,"cM14"
0,0.144121725867662,4,0,"cM15"
0,-0.0916266777976886,5,0,"cM16"
0,0.104346119980783,5,100,"cM17"
0,-0.0164441732736184,6,0,"cM18"
0,-0.0722240340853942,6,50,"cM19"
0,0.241558054185989,6,100,"cM20"
0,0.00976298651657999,7,0,"cM21"
0,-0.036311311492915,7,14,"cM22"
0,-0.052590991742909,7,29,"cM23"
0,-0.060552814276889,7,43,"cM24"
0,0.0978345752950114,7,57,"cM25"
0,0.127528693709047,7,71,"cM26"
0,0.198641479193213,7,86,"cM27"
0,0.233626417616818,7,100,"cM28"
0,0.00465891379745997,8,0,"cM29"
0,-0.0183903764933348,8,25,"cM30"
0,-0.0529752267990261,8,50,"cM31"
0,0.0784346933751317,8,75,"cM32"
0,-0.153607748436246,8,100,"cM33"
0,-0.0404532949440181,9,0,"cM34"
0,0.0547739979508282,9,50,"cM35"
0,0.260336807916377,9,100,"cM36"
0,-0.0485100414603949,10,0,"cM37"
0,-0.0785641146781755,10,50,"cM38"
0,0.106236708066882,10,100,"cM39"
0,-0.0920009062583459,11,0,"cM40"
0,-0.00157722573280097,12,0,"cM41"
0,0.00401246719993651,12,50,"cM42"
0,-0.189105273875116,12,100,"cM43"
0,-0.0775355901993203,13,0,"cM44"
0,0.174750046435368,13,33,"cM45"
0,-0.181262765416365,13,67,"cM46"
0,0.28179713411439,13,100,"cM47"
0,0.0810681329300913,14,0,"cM48"
0,0.113940507728131,14,33,"cM49"
0,0.123544695876063,14,67,"cM50"
0,-0.461767812420554,14,100,"cM51"
0,-0.0414065490924449,15,0,"cM52"
0,0.00759747319021511,16,0,"cM53"
0,-0.0438590442761779,16,20,"cM54"
0,0.0488827663008124,16,40,"cM55"
0,0.0589496756438166,16,60,"cM56"
0,-0.139070719770914,16,80,"cM57"
0,0.387979573856401,16,100,"cM58"
0,-0.0375389983411878,17,0,"cM59"
0,0.0506728073582053,17,20,"cM60"
0,-0.0560443953145295,17,40,"cM61"
0,0.063980557569441,17,60,"cM62"
0,-0.110404457054557,17,80,"cM63"
0,-0.453919966866202,17,100,"cM64"
0,0.0573469425085932,18,0,"cM65"
0,-0.0732087846591674,18,50,"cM66"
0,-0.211536074230883,18,100,"cM67"
0,0.125760385762425,19,0,"cM68"
0,-0.126695206570895,19,100,"cM69"
0,-0.0221439641434699,20,0,"cM70"
0,0.132569645061613,20,100,"cM71"
