"zerostate","reststate","linkage","location","locusname"
0,0.0208207528293133,1,0,"cM1"
0,0,2,0,"cM2"
0,0,3,0,"cM3"
0,0,4,0,"cM4"
0,-0.00640327351943507,5,0,"cM5"
0,-0.0338755939884071,5,100,"cM6"
0,-0.000870909671614708,6,0,"cM7"
0,-0.00132595376086915,6,100,"cM8"
0,0.018421406019479,7,0,"cM9"
0,0.00244065910577774,8,0,"cM10"
0,0.0490599000437145,8,100,"cM11"
0,-0.0249147218093276,9,0,"cM12"
0,0,10,0,"cM13"
0,-0.0480034908262973,11,0,"cM14"
0,-0.0345718455564058,12,0,"cM15"
0,-0.0351543027712429,12,100,"cM16"
0,-0.00802121359854937,13,0,"cM17"
0,0.0291818349419122,13,33,"cM18"
0,-0.0530964091775899,13,67,"cM19"
0,0.0780446328189144,13,100,"cM20"
0,-0.0863111402211601,14,0,"cM21"
0,0,15,0,"cM22"
0,-0.0131324821338058,16,0,"cM23"
0,0.000648930687312285,17,0,"cM24"
0,0.0017295349580629,18,0,"cM25"
0,-0.0234497712552547,18,100,"cM26"
0,0,19,0,"cM27"
0,-0.0164594537578523,20,0,"cM28"
0,-0.0274695892632008,21,0,"cM29"
0,0.0915522078374281,22,0,"cM30"
0,-0.00887645971029997,23,0,"cM31"
0,0,24,0,"cM32"
0,-0.00948195451870561,25,0,"cM33"
0,-0.0461914824305062,25,50,"cM34"
0,-0.10700358531865,25,100,"cM35"
0,0.0279509451223497,26,0,"cM36"
0,-0.0197301824577153,27,0,"cM37"
0,0,28,0,"cM38"
0,0,29,0,"cM39"
0,0.062254882227994,30,0,"cM40"
0,0,31,0,"cM41"
0,-0.0550542472658639,32,0,"cM42"
0,-0.0784647097912153,32,50,"cM43"
0,-0.170945990612501,32,100,"cM44"
0,0.00865356950089335,33,0,"cM45"
0,0.0543578522635584,33,100,"cM46"
0,0.0327968180162792,34,0,"cM47"
0,0.0108088210597634,35,0,"cM48"
0,-0.0339278502372985,36,0,"cM49"
0,0.0376214570073995,37,0,"cM50"
0,-0.154580641604009,38,0,"cM51"
0,0,39,0,"cM52"
0,-0.0598804570447318,40,0,"cM53"
