"zerostate","reststate","linkage","location","locusname"
0,0,1,0,"cM1"
0,-0.045220608076263,2,0,"cM2"
0,-0.00236872574138404,3,0,"cM3"
0,-0.0072416765615344,4,0,"cM4"
0,-0.0177237138897181,4,50,"cM5"
0,0.140999645209851,4,100,"cM6"
0,0.0271932528354228,5,0,"cM7"
0,0.093434328208293,5,100,"cM8"
0,0.0709929288145075,6,0,"cM9"
0,0.131032963984444,6,100,"cM10"
0,0,7,0,"cM11"
0,0.176696642587632,8,0,"cM12"
0,0.178796721963882,8,100,"cM13"
0,-0.000185847204428338,9,0,"cM14"
0,0.00162741377949715,9,50,"cM15"
0,0.0316590752599537,9,100,"cM16"
0,0.0187499943375587,10,0,"cM17"
0,-0.0122899566031992,11,0,"cM18"
0,0,12,0,"cM19"
0,0.0154246886012583,13,0,"cM20"
0,-0.0434656539334821,13,100,"cM21"
0,0.0516804352758412,14,0,"cM22"
0,0,15,0,"cM23"
0,0,16,0,"cM24"
0,-0.0127147047407925,17,0,"cM25"
0,0.0245151386037469,17,25,"cM26"
0,-0.0426256839541679,17,50,"cM27"
0,-0.0479170934094076,17,75,"cM28"
0,-0.107298686640124,17,100,"cM29"
0,-0.00313281306996942,18,0,"cM30"
0,-0.00963227864354849,18,100,"cM31"
0,0.00207587566226721,19,0,"cM32"
0,0.0238857350870967,19,100,"cM33"
0,0,20,0,"cM34"
0,0,21,0,"cM35"
0,0.00186230161559212,22,0,"cM36"
0,-0.0183875551633537,22,100,"cM37"
0,-0.00919636839558021,23,0,"cM38"
0,0.029334892783414,23,100,"cM39"
0,0,24,0,"cM40"
0,-0.0151020520180464,25,0,"cM41"
0,-0.0205121704749763,25,100,"cM42"
0,0.0112898055216994,26,0,"cM43"
0,-0.0183350070379674,26,33,"cM44"
0,0.0647471837665806,26,67,"cM45"
0,-0.173598536518778,26,100,"cM46"
0,0.195874220791617,27,0,"cM47"
0,0.0152891735360026,28,0,"cM48"
0,0.0229990988969803,28,50,"cM49"
0,-0.0351077903045302,28,100,"cM50"
0,0.0249662587977946,29,0,"cM51"
0,0.0552220194397454,29,50,"cM52"
0,0.070173163708664,29,100,"cM53"
0,-0.126333000156724,30,0,"cM54"
0,-0.0246267215162516,31,0,"cM55"
0,-0.0410891190961539,31,100,"cM56"
0,-0.0255748325400054,32,0,"cM57"
0,0,33,0,"cM58"
0,0.0364718133566861,34,0,"cM59"
0,-0.00538822438567877,35,0,"cM60"
0,0.0159584090299904,35,25,"cM61"
0,0.0226280346885324,35,50,"cM62"
0,-0.0426416418312078,35,75,"cM63"
0,-0.0481230821816211,35,100,"cM64"
0,-0.0114715966711895,36,0,"cM65"
0,0.013892558576618,36,50,"cM66"
0,0.0415018824172064,36,100,"cM67"
0,0,37,0,"cM68"
0,-0.00521403636783361,38,0,"cM69"
0,0.106555234263267,38,100,"cM70"
0,-0.00125724124618082,39,0,"cM71"
0,0.0489489827658737,40,0,"cM72"
