"zerostate","reststate","linkage","location","locusname"
0,0.0485016711659024,1,0,"cM1"
0,-0.0128472006134689,2,0,"cM2"
0,-0.0600366615576427,2,33,"cM3"
0,-0.0649135938938112,2,67,"cM4"
0,-0.0918312695342452,2,100,"cM5"
0,-0.00539831304265145,3,0,"cM6"
0,-0.0470039162768011,3,100,"cM7"
0,0,4,0,"cM8"
0,0.0296366634440942,5,0,"cM9"
0,0.121462539120601,6,0,"cM10"
0,0.123750532688028,6,25,"cM11"
0,0.132545819946363,6,50,"cM12"
0,0.135403788381054,6,75,"cM13"
0,0.199386094574979,6,100,"cM14"
0,0.0270916941389442,7,0,"cM15"
0,0.0387117497233634,7,100,"cM16"
0,0.00188086854293942,8,0,"cM17"
0,0.0192611627280712,8,50,"cM18"
0,0.0487607187015896,8,100,"cM19"
0,0.0370304814709311,9,0,"cM20"
0,-0.144235577202382,9,100,"cM21"
0,0.0592537686466566,10,0,"cM22"
0,0.00657888632267714,11,0,"cM23"
0,0.0222474376484752,12,0,"cM24"
0,0.00739651462310276,13,0,"cM25"
0,0.00286855731159449,14,0,"cM26"
0,-0.0246855203497781,14,33,"cM27"
0,0.0347213210893755,14,67,"cM28"
0,-0.0963266663089518,14,100,"cM29"
0,-0.0165243955275886,15,0,"cM30"
0,0.0209143602934664,15,100,"cM31"
0,-0.0351497691852932,16,0,"cM32"
0,0.0615315072204838,17,0,"cM33"
0,0.0655873692374597,17,100,"cM34"
0,0.0120613877102733,18,0,"cM35"
0,0.00102143526077271,19,0,"cM36"
0,-0.0564573916014204,20,0,"cM37"
0,0,21,0,"cM38"
0,0.0534873974777874,22,0,"cM39"
0,0.0586654056824968,22,100,"cM40"
0,0.0913621512750044,23,0,"cM41"
0,0.127177933727055,23,100,"cM42"
0,0.00541420134935545,24,0,"cM43"
0,-0.0493404829857831,24,100,"cM44"
0,-0.00692864476352759,25,0,"cM45"
0,-0.00162833961170524,26,0,"cM46"
0,0.0913158999540718,27,0,"cM47"
0,0.0983536425927534,27,100,"cM48"
0,-0.00173752974718809,28,0,"cM49"
0,0.00719996839761734,28,100,"cM50"
0,-0.0149015731364489,29,0,"cM51"
0,-0.0157394847646356,29,50,"cM52"
0,0.122803218357994,29,100,"cM53"
0,0,30,0,"cM54"
0,0.0380511651945639,31,0,"cM55"
0,0.0438751203452562,31,50,"cM56"
0,-0.0931649934450045,31,100,"cM57"
0,0,32,0,"cM58"
0,0,33,0,"cM59"
0,0,34,0,"cM60"
0,0,35,0,"cM61"
0,0.050564825607646,36,0,"cM62"
0,-0.00771109348163009,37,0,"cM63"
0,-0.00616816109872415,38,0,"cM64"
0,-0.038909233061779,38,100,"cM65"
0,0.0145078631551494,39,0,"cM66"
0,0.0651961065050135,39,100,"cM67"
0,0.0134423395192066,40,0,"cM68"
