"zerostate","reststate","linkage","location","locusname"
0,0.0187542845495045,1,0,"cM1"
0,0.0283184224274009,1,25,"cM2"
0,-0.0376708980184048,1,50,"cM3"
0,-0.0800874024584892,1,75,"cM4"
0,-0.261905350248933,1,100,"cM5"
0,0,2,0,"cM6"
0,0.133356295708091,3,0,"cM7"
0,0,4,0,"cM8"
0,0.104346119980783,5,0,"cM9"
0,-0.0722240340853942,6,0,"cM10"
0,0.233626417616818,7,0,"cM11"
0,0.0784346933751317,8,0,"cM12"
0,0.0547739979508282,9,0,"cM13"
0,-0.0485100414603949,10,0,"cM14"
0,0,11,0,"cM15"
0,0.00401246719993651,12,0,"cM16"
0,-0.0775355901993203,13,0,"cM17"
0,0.174750046435368,13,50,"cM18"
0,-0.181262765416365,13,100,"cM19"
0,0,14,0,"cM20"
0,0,15,0,"cM21"
0,0.0589496756438166,16,0,"cM22"
0,0.387979573856401,16,100,"cM23"
0,0.0506728073582053,17,0,"cM24"
0,-0.0560443953145295,17,100,"cM25"
0,-0.0732087846591674,18,0,"cM26"
0,0.125760385762425,19,0,"cM27"
0,-0.0221439641434699,20,0,"cM28"
