"zerostate","reststate","linkage","location","locusname"
0,0.0186288325846014,1,0,"cP1"
0,0.0622488400928314,1,8,"cP2"
0,-0.0738341036806509,1,15,"cP3"
0,0.0754760628524137,1,23,"cP4"
0,0.0931264728814745,1,31,"cP5"
0,0.129780160352112,1,38,"cP6"
0,0.158740201770308,1,46,"cP7"
0,0.208721214950669,1,54,"cP8"
0,0.284651259838323,1,62,"cP9"
0,0.344812711311464,1,69,"cP10"
0,0.36750576974075,1,77,"cP11"
0,0.386534595064088,1,85,"cP12"
0,0.530412827738716,1,92,"cP13"
0,0.629407184314594,1,100,"cP14"
0,0.101529877162994,2,0,"cP15"
0,0.131998336404086,2,8,"cP16"
0,0.151628529830816,2,15,"cP17"
0,0.152733094962196,2,23,"cP18"
0,0.320987503339281,2,31,"cP19"
0,0.345860541813751,2,38,"cP20"
0,0.38615000003711,2,46,"cP21"
0,0.554283581830957,2,54,"cP22"
0,0.577765050314763,2,62,"cP23"
0,0.638564882766376,2,69,"cP24"
0,-0.66426226921324,2,77,"cP25"
0,0.725777579465783,2,85,"cP26"
0,0.872277659317835,2,92,"cP27"
0,0.90850561628665,2,100,"cP28"
0,-0.079935526864241,3,0,"cP29"
0,0.118301976561071,3,10,"cP30"
0,-0.158153888015988,3,20,"cP31"
0,0.176832079506459,3,30,"cP32"
0,0.181675644396784,3,40,"cP33"
0,0.225518080765817,3,50,"cP34"
0,0.319378460554366,3,60,"cP35"
0,0.340281974507456,3,70,"cP36"
0,0.368722660194506,3,80,"cP37"
0,0.377998670169568,3,90,"cP38"
0,-0.519383876182535,3,100,"cP39"
0,0.0837609625946267,4,0,"cP40"
0,0.201628961405697,4,12,"cP41"
0,0.233006944683727,4,25,"cP42"
0,0.298618949932938,4,38,"cP43"
0,0.357222682775414,4,50,"cP44"
0,0.392095334811096,4,62,"cP45"
0,0.481417198826499,4,75,"cP46"
0,0.492098521229751,4,88,"cP47"
0,0.531918405153253,4,100,"cP48"
0,0.0343747451901436,5,0,"cP49"
0,-0.05691735916771,5,9,"cP50"
0,0.183317248887363,5,18,"cP51"
0,0.185421770616415,5,27,"cP52"
0,0.239929055483934,5,36,"cP53"
0,0.252682656595919,5,45,"cP54"
0,0.294157861901407,5,55,"cP55"
0,0.331461934030016,5,64,"cP56"
0,0.332450675947552,5,73,"cP57"
0,0.390929023156627,5,82,"cP58"
0,0.418548283254379,5,91,"cP59"
0,0.729883128287748,5,100,"cP60"
0,0.151736879658334,6,0,"cP61"
0,0.255903057555173,6,8,"cP62"
0,-0.291548883898144,6,17,"cP63"
0,0.304174919908792,6,25,"cP64"
0,0.313992293162232,6,33,"cP65"
0,0.33094446955431,6,42,"cP66"
0,0.341763824161102,6,50,"cP67"
0,0.357084680784419,6,58,"cP68"
0,0.374128881731962,6,67,"cP69"
0,0.431000219328593,6,75,"cP70"
0,0.580588267163285,6,83,"cP71"
0,0.582464614675292,6,92,"cP72"
0,0.783031977683197,6,100,"cP73"
0,0.0430732389912009,7,0,"cP74"
0,0.147742616519709,7,6,"cP75"
0,0.155721954946386,7,12,"cP76"
0,0.163389667115154,7,18,"cP77"
0,0.179019103377106,7,24,"cP78"
0,0.191973890914562,7,29,"cP79"
0,-0.198002037211301,7,35,"cP80"
0,0.225282306770299,7,41,"cP81"
0,-0.228714964712474,7,47,"cP82"
0,0.233396978040189,7,53,"cP83"
0,0.282393005165922,7,59,"cP84"
0,0.323189875059883,7,65,"cP85"
0,0.327402196062689,7,71,"cP86"
0,0.334289777634626,7,76,"cP87"
0,0.337204302830582,7,82,"cP88"
0,0.421136157561965,7,88,"cP89"
0,0.626711554232905,7,94,"cP90"
0,0.850085028214736,7,100,"cP91"
0,0.124664099785479,8,0,"cP92"
0,-0.141991017377915,8,9,"cP93"
0,0.144705049871447,8,18,"cP94"
0,0.185325662317666,8,27,"cP95"
0,0.196360820150914,8,36,"cP96"
0,0.271359561557386,8,45,"cP97"
0,0.395806970240033,8,55,"cP98"
0,0.466720913800239,8,64,"cP99"
0,-0.507967631675699,8,73,"cP100"
0,-0.512822045646219,8,82,"cP101"
0,0.608373771574269,8,91,"cP102"
0,0.95897562107198,8,100,"cP103"
0,0.0270589070394635,9,0,"cP104"
0,0.0586594888940454,9,10,"cP105"
0,0.0594017332377744,9,20,"cP106"
0,0.101810643072696,9,30,"cP107"
0,0.189826242431047,9,40,"cP108"
0,0.258644005829904,9,50,"cP109"
0,0.295414721948986,9,60,"cP110"
0,0.406280778886235,9,70,"cP111"
0,0.523346830688813,9,80,"cP112"
0,0.598314295624734,9,90,"cP113"
0,0.602036746087382,9,100,"cP114"
0,0.087274032966815,10,0,"cP115"
0,0.10794097295679,10,20,"cP116"
0,0.11277995178577,10,40,"cP117"
0,0.224646891319299,10,60,"cP118"
0,0.241840235690091,10,80,"cP119"
0,0.242868279094312,10,100,"cP120"
