"zerostate","reststate","linkage","location","locusname"
0,-0.00022085006348789,1,0,"cP1"
0,-0.0039904178451014,1,1,"cP2"
0,-0.00638024344275081,1,1,"cP3"
0,-0.00667419847287982,1,2,"cP4"
0,-0.00783320070334452,1,3,"cP5"
0,-0.00862768898587908,1,3,"cP6"
0,0.0094224639236927,1,4,"cP7"
0,-0.0104615318143529,1,5,"cP8"
0,-0.0110540631227195,1,6,"cP9"
0,-0.0110892227385193,1,6,"cP10"
0,0.0114790100604296,1,7,"cP11"
0,0.0138050220906734,1,8,"cP12"
0,0.0336679685860872,1,8,"cP13"
0,0.0385862795154945,1,9,"cP14"
0,-0.0410447785619083,1,10,"cP15"
0,-0.0421324490569532,1,10,"cP16"
0,0.0432556748855859,1,11,"cP17"
0,0.0451091391965747,1,12,"cP18"
0,-0.0456128480458656,1,13,"cP19"
0,0.0499925522277413,1,13,"cP20"
0,-0.0511455701198429,1,14,"cP21"
0,-0.0512269653845578,1,15,"cP22"
0,0.0556117641739547,1,15,"cP23"
0,0.0617010106406149,1,16,"cP24"
0,0.0679593942128122,1,17,"cP25"
0,0.0687791692093015,1,17,"cP26"
0,-0.0717455815481854,1,18,"cP27"
0,0.074713729410888,1,19,"cP28"
0,-0.0767796401945898,1,20,"cP29"
0,0.0771514899055374,1,20,"cP30"
0,-0.0805306653516013,1,21,"cP31"
0,0.0810602106111956,1,22,"cP32"
0,-0.0937843881505442,1,22,"cP33"
0,0.0967910735177546,1,23,"cP34"
0,-0.0996171256959938,1,24,"cP35"
0,-0.101340126378553,1,24,"cP36"
0,-0.111660619549539,1,25,"cP37"
0,0.118449576194854,1,26,"cP38"
0,0.13022106969309,1,27,"cP39"
0,0.136083969092908,1,27,"cP40"
0,0.138668269611325,1,28,"cP41"
0,-0.140195626525299,1,29,"cP42"
0,0.141184873334492,1,29,"cP43"
0,0.142307114509768,1,30,"cP44"
0,-0.143277113496562,1,31,"cP45"
0,0.145542936577442,1,31,"cP46"
0,0.147814950304341,1,32,"cP47"
